"human_gene_symbol"	"human_entrez_ID"	"mouse_gene_symbol"	"mouse_entrez_ID"
"KLF11"	"     8462"	"Klf11"	"   194655"
"AURKA"	"     6790"	"Aurka"	"    20878"
"GPR65"	"     8477"	"Gpr65"	"    14744"
"RAE1"	"     8480"	"Rae1"	"    66679"
"OFD1"	"     8481"	"Ofd1"	"   237222"
"SEMA7A"	"     8482"	"Sema7a"	"    20361"
"CILP"	"     8483"	"Cilp"	"   214425"
"SLC4A7"	"     9497"	"Slc4a7"	"   218756"
"RGS5"	"     8490"	"Rgs5"	"    19737"
"MAP4K3"	"     8491"	"Map4k3"	"   225028"
"PPFIBP1"	"     8496"	"Ppfibp1"	"    67533"
"SLC43A1"	"     8501"	"Slc43a1"	"    72401"
"PKP4"	"     8502"	"Pkp4"	"   227937"
"PIK3R3"	"     8503"	"Pik3r3"	"    18710"
"PEX3"	"     8504"	"Pex3"	"    56535"
"ENC1"	"     8507"	"Enc1"	"    13803"
"NIPSNAP1"	"     8508"	"Nipsnap1"	"    18082"
"ITGA10"	"     8515"	"Itga10"	"   213119"
"IKBKG"	"     8517"	"Ikbkg"	"    16151"
"HAT1"	"     8520"	"Hat1"	"   107435"
"DGKE"	"     8526"	"Dgke"	"    56077"
"YBX3"	"     8531"	"Ybx3"	"    56449"
"CPZ"	"     8532"	"Cpz"	"   242939"
"COPS3"	"     8533"	"Cops3"	"    26572"
"CHST1"	"     8534"	"Chst1"	"    76969"
"CBX4"	"     8535"	"Cbx4"	"    12418"
"BCAS1"	"     8537"	"Bcas1"	"    76960"
"BARX2"	"     8538"	"Barx2"	"    12023"
"AGPS"	"     8540"	"Agps"	"   228061"
"PIR"	"     8544"	"Pir"	"    69656"
"CGGBP1"	"     8545"	"Cggbp1"	"   106143"
"BHLHE40"	"     8553"	"Bhlhe40"	"    20893"
"TCAP"	"     8557"	"Tcap"	"    21393"
"PRPF18"	"     8559"	"Prpf18"	"    67229"
"KMO"	"     8564"	"Kmo"	"    98256"
"YARS"	"     8565"	"Yars"	"   107271"
"PDXK"	"     8566"	"Pdxk"	"   216134"
"KHSRP"	"     8570"	"Khsrp"	"    16549"
"PDLIM4"	"     8572"	"Pdlim4"	"    30794"
"CASK"	"     8573"	"Cask"	"    12361"
"AKR7A2"	"     8574"	"Akr7a5"	"   110198"
"PRKRA"	"     8575"	"Prkra"	"    23992"
"STK16"	"     8576"	"Stk16"	"    20872"
"SCARF1"	"     8578"	"Scarf1"	"   380713"
"LY6D"	"     8581"	"Ly6d"	"    17068"
"TNFSF11"	"     8600"	"Tnfsf11"	"    21943"
"FAM193A"	"     8603"	"Fam193a"	"   231128"
"KLF7"	"     8609"	"Klf7"	"    93691"
"PLPP2"	"     8612"	"Plpp2"	"    50784"
"STC2"	"     8614"	"Stc2"	"    20856"
"USO1"	"     8615"	"Uso1"	"    56041"
"PSMG1"	"     8624"	"Psmg1"	"    56088"
"RFXANK"	"     8625"	"Rfxank"	"    19727"
"JRK"	"     8629"	"Jrk"	"    16469"
"SKAP1"	"     8631"	"Skap1"	"    78473"
"UNC5C"	"     8633"	"Unc5c"	"    22253"
"RTCA"	"     8634"	"Rtca"	"    66368"
"SSNA1"	"     8636"	"Ssna1"	"    68475"
"OASL"	"     8638"	"Oasl1"	"   231655"
"AOC3"	"     8639"	"Aoc3"	"    11754"
"KCNK5"	"     8645"	"Kcnk5"	"    16529"
"NUMB"	"     8650"	"Numb"	"    18222"
"SOCS1"	"     8651"	"Socs1"	"    12703"
"IRS2"	"     8660"	"Irs2"	"   384783"
"EIF3A"	"     8661"	"Eif3a"	"    13669"
"EIF3B"	"     8662"	"Eif3b"	"    27979"
"EIF3C"	"     8663"	"Eif3c"	"    56347"
"EIF3D"	"     8664"	"Eif3d"	"    55944"
"EIF3F"	"     8665"	"Eif3f"	"    66085"
"EIF3G"	"     8666"	"Eif3g"	"    53356"
"EIF3H"	"     8667"	"Eif3h"	"    68135"
"EIF3I"	"     8668"	"Eif3i"	"    54709"
"EIF4G3"	"     8672"	"Eif4g3"	"   230861"
"STX16"	"     8675"	"Stx16"	"   228960"
"STX11"	"     8676"	"Stx11"	"    74732"
"BECN1"	"     8678"	"Becn1"	"    56208"
"JRKL"	"     8690"	"Jrkl"	"    77532"
"S1PR4"	"     8698"	"S1pr4"	"    13611"
"MRPL40"	"    64976"	"Mrpl40"	"    18100"
"DNAH11"	"     8701"	"Dnah11"	"    13411"
"B3GALT4"	"     8705"	"B3galt4"	"    54218"
"TRADD"	"     8717"	"Tradd"	"    71609"
"MBTPS1"	"     8720"	"Mbtps1"	"    56453"
"EDF1"	"     8721"	"Edf1"	"    59022"
"SNX30"	"   401548"	"Snx30"	"   209131"
"URI1"	"     8725"	"Uri1"	"    19777"
"EED"	"     8726"	"Eed"	"    13626"
"CTNNAL1"	"     8727"	"Ctnnal1"	"    54366"
"RNMT"	"     8731"	"Rnmt"	"    67897"
"RIPK1"	"     8737"	"Ripk1"	"    19766"
"CRADD"	"     8738"	"Cradd"	"    12905"
"TNFSF14"	"     8740"	"Tnfsf14"	"    50930"
"TNFSF10"	"     8743"	"Tnfsf10"	"    22035"
"ADAM23"	"     8745"	"Adam23"	"    23792"
"ADAM15"	"     8751"	"Adam15"	"    11490"
"TNFRSF14"	"     8764"	"Tnfrsf14"	"   230979"
"FADD"	"     8772"	"Fadd"	"    14082"
"NAPG"	"     8774"	"Napg"	"   108123"
"NAPA"	"     8775"	"Napa"	"   108124"
"MTMR1"	"     8776"	"Mtmr1"	"    53332"
"MPDZ"	"     8777"	"Mpdz"	"    17475"
"RIOK3"	"     8780"	"Riok3"	"    66878"
"MATN4"	"     8785"	"Matn4"	"    17183"
"RGS9"	"     8787"	"Rgs9"	"    19739"
"FPGT"	"     8790"	"Fpgt"	"    75540"
"TNFRSF11A"	"     8792"	"Tnfrsf11a"	"    21934"
"SCEL"	"     8796"	"Scel"	"    64929"
"PEX11B"	"     8799"	"Pex11b"	"    18632"
"SUCLG2"	"     8801"	"Suclg2"	"    20917"
"SUCLA2"	"     8803"	"Sucla2"	"    20916"
"IL18RAP"	"     8807"	"Il18rap"	"    16174"
"IL1RL2"	"     8808"	"Il1rl2"	"   107527"
"IL18R1"	"     8809"	"Il18r1"	"    16182"
"IL1RL1"	"     9173"	"Il1rl1"	"    17082"
"DPM1"	"     8813"	"Dpm1"	"    13480"
"BANF1"	"     8815"	"Banf1"	"    23825"
"FGF18"	"     8817"	"Fgf18"	"    14172"
"SAP30"	"     8819"	"Sap30"	"    60406"
"INPP4A"	"     3631"	"Inpp4a"	"   269180"
"NRP2"	"     8828"	"Nrp2"	"    18187"
"NRP1"	"     8829"	"Nrp1"	"    18186"
"TMEM11"	"     8834"	"Tmem11"	"   216821"
"SOCS2"	"     8835"	"Socs2"	"   216233"
"GGH"	"     8836"	"Ggh"	"    14590"
"ASAP2"	"     8853"	"Asap2"	"   211914"
"PROZ"	"     8858"	"Proz"	"    66901"
"LDB1"	"     8861"	"Ldb1"	"    16825"
"ST3GAL5"	"     8869"	"St3gal5"	"    20454"
"IER3"	"     8870"	"Ier3"	"    15937"
"ARHGEF7"	"     8874"	"Arhgef7"	"    54126"
"SGPL1"	"     8879"	"Sgpl1"	"    20397"
"CDC16"	"     8881"	"Cdc16"	"    69957"
"ZPR1"	"     8882"	"Zpr1"	"    22687"
"MCM3AP"	"     8888"	"Mcm3ap"	"    54387"
"EIF2B5"	"     8893"	"Eif2b5"	"   224045"
"EIF2S2"	"     8894"	"Eif2s2"	"    67204"
"AP1S2"	"     8905"	"Ap1s2"	"   108012"
"BCL10"	"     8915"	"Bcl10"	"    12042"
"MBD4"	"     8930"	"Mbd4"	"    17193"
"MBD3"	"    53615"	"Mbd3"	"    17192"
"MBD2"	"     8932"	"Mbd2"	"    17191"
"SKAP2"	"     8935"	"Skap2"	"    54353"
"WASF1"	"     8936"	"Wasf1"	"    83767"
"ST13"	"     6767"	"St13"	"    70356"
"TOP3B"	"     8940"	"Top3b"	"    21976"
"KYNU"	"     8942"	"Kynu"	"    70789"
"AP3D1"	"     8943"	"Ap3d1"	"    11776"
"STBD1"	"     8987"	"Stbd1"	"    52331"
"SELENBP1"	"     8991"	"Selenbp1"	"    20341"
"SELENBP1"	"     8991"	"Selenbp2"	"    20342"
"ATP6V0E1"	"     8992"	"Atp6v0e"	"    11974"
"SLC25A14"	"     9016"	"Slc25a14"	"    20523"
"MPZL1"	"     9019"	"Mpzl1"	"    68481"
"MAP3K14"	"     9020"	"Map3k14"	"    53859"
"SOCS3"	"     9021"	"Socs3"	"    12702"
"CH25H"	"     9023"	"Ch25h"	"    12642"
"RNF8"	"     9025"	"Rnf8"	"    58230"
"TM4SF5"	"     9032"	"Tm4sf5"	"    75604"
"CCRL2"	"     9034"	"Ccrl2"	"    54199"
"SEMA5A"	"     9037"	"Sema5a"	"    20356"
"UBA3"	"     9039"	"Uba3"	"    22200"
"UBE2M"	"     9040"	"Ube2m"	"    22192"
"MYOM2"	"     9172"	"Myom2"	"    17930"
"SPAG9"	"     9043"	"Spag9"	"    70834"
"DOK2"	"     9046"	"Dok2"	"    13449"
"SH2D2A"	"     9047"	"Sh2d2a"	"    27371"
"AIP"	"     9049"	"Aip"	"    11632"
"GPRC5A"	"     9052"	"Gprc5a"	"   232431"
"TNK1"	"     8711"	"Tnk1"	"    83813"
"NPR2"	"     4882"	"Npr2"	"   230103"
"NFKB1"	"     4790"	"Nfkb1"	"    18033"
"OSMR"	"     9180"	"Osmr"	"    18414"
"FCGR2B"	"     2213"	"Fcgr2b"	"    14130"
"ADCY3"	"      109"	"Adcy3"	"   104111"
"AMPD2"	"      271"	"Ampd2"	"   109674"
"ARRB1"	"      408"	"Arrb1"	"   109689"
"ATIC"	"      471"	"Atic"	"   108147"
"ATOX1"	"      475"	"Atox1"	"    11927"
"ATP5F1A"	"      498"	"Atp5a1"	"    11946"
"ATP6V0B"	"      533"	"Atp6v0b"	"   114143"
"B2M"	"      567"	"B2m"	"    12010"
"BCL2A1"	"      597"	"Bcl2a1b"	"    12045"
"BCL2A1"	"      597"	"Bcl2a1d"	"    12047"
"BCL2A1"	"      597"	"Bcl2a1a"	"    12044"
"BCL2L2"	"      599"	"Bcl2l2"	"    12050"
"BNIP3"	"      664"	"Bnip3"	"    12176"
"BYSL"	"      705"	"Bysl"	"    53414"
"C3AR1"	"      719"	"C3ar1"	"    12267"
"KYAT3"	"    56267"	"Kyat3"	"   229905"
"CCNG1"	"      900"	"Ccng1"	"    12450"
"CDKN1B"	"     1027"	"Cdkn1b"	"    12576"
"AP2M1"	"     1173"	"Ap2m1"	"    11773"
"AP2S1"	"     1175"	"Ap2s1"	"   232910"
"COX8A"	"     1351"	"Cox8a"	"    12868"
"DCTN1"	"     1639"	"Dctn1"	"    13191"
"DDIT3"	"     1649"	"Ddit3"	"    13198"
"DNTT"	"     1791"	"Dntt"	"    21673"
"ECHS1"	"     1892"	"Echs1"	"    93747"
"EFNB2"	"     1948"	"Efnb2"	"    13642"
"EIF2S1"	"     1965"	"Eif2s1"	"    13665"
"EIF4EBP1"	"     1978"	"Eif4ebp1"	"    13685"
"EIF4EBP2"	"     1979"	"Eif4ebp2"	"    13688"
"EYA4"	"     2070"	"Eya4"	"    14051"
"EFEMP1"	"     2202"	"Efemp1"	"   216616"
"FCER1G"	"     2207"	"Fcer1g"	"    14127"
"FCGRT"	"     2217"	"Fcgrt"	"    14132"
"FDXR"	"     2232"	"Fdxr"	"    14149"
"FEN1"	"     2237"	"Fen1"	"    14156"
"FGF13"	"     2258"	"Fgf13"	"    14168"
"FKBP5"	"     2289"	"Fkbp5"	"    14229"
"FLT3"	"     2322"	"Flt3"	"    14255"
"GNG11"	"     2791"	"Gng11"	"    66066"
"GPS1"	"     2873"	"Gps1"	"   209318"
"KCNMB1"	"     3779"	"Kcnmb1"	"    16533"
"LBP"	"     3929"	"Lbp"	"    16803"
"CITED1"	"     4435"	"Cited1"	"    12705"
"MYO9B"	"     4650"	"Myo9b"	"    17925"
"NDUFB7"	"     4713"	"Ndufb7"	"    66916"
"DRG1"	"     4733"	"Drg1"	"    13494"
"PRKAR2A"	"     5576"	"Prkar2a"	"    19087"
"RAB27A"	"     5873"	"Rab27a"	"    11891"
"RRAD"	"     6236"	"Rrad"	"    56437"
"SDHA"	"     6389"	"Sdha"	"    66945"
"SHMT1"	"     6470"	"Shmt1"	"    20425"
"SLC1A2"	"     6506"	"Slc1a2"	"    20511"
"SNRPD3"	"     6634"	"Snrpd3"	"    67332"
"SREBF1"	"     6720"	"Srebf1"	"    20787"
"TANK"	"    10010"	"Tank"	"    21353"
"WARS"	"     7453"	"Wars"	"    22375"
"USP2"	"     9099"	"Usp2"	"    53376"
"AIFM1"	"     9131"	"Aifm1"	"    26926"
"FIBP"	"     9158"	"Fibp"	"    58249"
"EBAG9"	"     9166"	"Ebag9"	"    55960"
"PTTG1"	"     9232"	"Pttg1"	"    30939"
"UBE2L6"	"     9246"	"Ube2l6"	"    56791"
"MFHAS1"	"     9258"	"Mfhas1"	"    52065"
"CYTH3"	"     9265"	"Cyth3"	"    19159"
"S1PR2"	"     9294"	"S1pr2"	"    14739"
"ATP6V1F"	"     9296"	"Atp6v1f"	"    66144"
"SOCS6"	"     9306"	"Socs6"	"    54607"
"CD83"	"     9308"	"Cd83"	"    12522"
"KLF4"	"     9314"	"Klf4"	"    16600"
"TRIP13"	"     9319"	"Trip13"	"    69716"
"JMJD1C"	"   221037"	"Jmjd1c"	"   108829"
"GLP2R"	"     9340"	"Glp2r"	"    93896"
"EFTUD2"	"     9343"	"Eftud2"	"    20624"
"RAB28"	"     9364"	"Rab28"	"   100972"
"SLC9A3R1"	"     9368"	"Slc9a3r1"	"    26941"
"PLAA"	"     9373"	"Plaa"	"    18786"
"TGFBRAP1"	"     9392"	"Tgfbrap1"	"    73122"
"CD101"	"     9398"	"Cd101"	"   630146"
"RECQL4"	"     9401"	"Recql4"	"    79456"
"SELENOF"	"     9403"	"Selenof"	"    93684"
"SEMA4F"	"    10505"	"Sema4f"	"    20355"
"MED21"	"     9412"	"Med21"	"   108098"
"FADS2"	"     9415"	"Fads2"	"    56473"
"CHST2"	"     9435"	"Chst2"	"    54371"
"MED17"	"     9440"	"Med17"	"   234959"
"MED27"	"     9442"	"Med27"	"    68975"
"MED7"	"     9443"	"Med7"	"    66213"
"HOMER1"	"     9456"	"Homer1"	"    26556"
"CHST3"	"     9469"	"Chst3"	"    53374"
"MED20"	"     9477"	"Med20"	"    56771"
"PIGL"	"     9487"	"Pigl"	"   327942"
"PMPCB"	"     9512"	"Pmpcb"	"    73078"
"EEF1E1"	"     9521"	"Eef1e1"	"    66143"
"BAG3"	"     9531"	"Bag3"	"    29810"
"GTPBP1"	"     9567"	"Gtpbp1"	"    14904"
"CYTIP"	"     9595"	"Cytip"	"   227929"
"NFE2L3"	"     9603"	"Nfe2l3"	"    18025"
"RIN1"	"     9610"	"Rin1"	"   225870"
"GDA"	"     9615"	"Gda"	"    14544"
"TRAF4"	"     9618"	"Traf4"	"    22032"
"ABCB7"	"       22"	"Abcb7"	"    11306"
"TGFBR1"	"     7046"	"Tgfbr1"	"    21812"
"RHOH"	"      399"	"Rhoh"	"    74734"
"ARRB2"	"      409"	"Arrb2"	"   216869"
"BAD"	"      572"	"Bad"	"    12015"
"BAG1"	"      573"	"Bag1"	"    12017"
"BCL9"	"      607"	"Bcl9"	"    77578"
"BCR"	"      613"	"Bcr"	"   110279"
"BCS1L"	"      617"	"Bcs1l"	"    66821"
"BNIP2"	"      663"	"Bnip2"	"    12175"
"BNIP3L"	"      665"	"Bnip3l"	"    12177"
"BNIP3L"	"      665"	"Bnip3l-ps"	"100043324"
"BRAF"	"      673"	"Braf"	"   109880"
"BST1"	"      683"	"Bst1"	"    12182"
"OSGIN2"	"      734"	"Osgin2"	"   209212"
"LDLRAD4"	"      753"	"Ldlrad4"	"    52662"
"PTTG1IP"	"      754"	"Pttg1ip"	"   108705"
"CCNG2"	"      901"	"Ccng2"	"    12452"
"CD74"	"      972"	"Cd74"	"    16149"
"UBE2R2"	"    54926"	"Ube2r2"	"    67615"
"CEBPA"	"     1050"	"Cebpa"	"    12606"
"CLCN2"	"     1181"	"Clcn2"	"    12724"
"CCR6"	"     1235"	"Ccr6"	"    12458"
"CNN2"	"     1265"	"Cnn2"	"    12798"
"COL12A1"	"     1303"	"Col12a1"	"    12816"
"COPA"	"     1314"	"Copa"	"    12847"
"COX6A1"	"     1337"	"Cox6a1"	"    12861"
"COX11"	"     1353"	"Cox11"	"    69802"
"CREB1"	"     1385"	"Creb1"	"    12912"
"VCAN"	"     1462"	"Vcan"	"    13003"
"CTBS"	"     1486"	"Ctbs"	"    74245"
"DAG1"	"     1605"	"Dag1"	"    13138"
"DAP"	"     1611"	"Dap"	"   223453"
"DBN1"	"     1627"	"Dbn1"	"    56320"
"DDX6"	"     1656"	"Ddx6"	"    13209"
"DFFA"	"     1676"	"Dffa"	"    13347"
"DFFB"	"     1677"	"Dffb"	"    13368"
"DMPK"	"     1760"	"Dmpk"	"    13400"
"TRDMT1"	"     1787"	"Trdmt1"	"    13434"
"RCAN1"	"     1827"	"Rcan1"	"    54720"
"DUSP1"	"     1843"	"Dusp1"	"    19252"
"DUSP2"	"     1844"	"Dusp2"	"    13537"
"DUSP5"	"     1847"	"Dusp5"	"   240672"
"E4F1"	"     1877"	"E4f1"	"    13560"
"ECM1"	"     1893"	"Ecm1"	"    13601"
"EFNA1"	"     1942"	"Efna1"	"    13636"
"EFNB1"	"     1947"	"Efnb1"	"    13641"
"EPS8"	"     2059"	"Eps8"	"    13860"
"ERBB2"	"     2064"	"Erbb2"	"    13866"
"ERH"	"     2079"	"Erh"	"    13877"
"ETFDH"	"     2110"	"Etfdh"	"    66841"
"ETV5"	"     2119"	"Etv5"	"   104156"
"ACSL3"	"     2181"	"Acsl3"	"    74205"
"DPP4"	"     1803"	"Dpp4"	"    13482"
"FARSA"	"     2193"	"Farsa"	"    66590"
"FDFT1"	"     2222"	"Fdft1"	"    14137"
"FGD1"	"     2245"	"Fgd1"	"    14163"
"FGF10"	"     2255"	"Fgf10"	"    14165"
"FOXD1"	"     2297"	"Foxd1"	"    15229"
"FOXD2"	"     2306"	"Foxd2"	"    17301"
"FLOT2"	"     2319"	"Flot2"	"    14252"
"NAALAD2"	"    10003"	"Naalad2"	"    72560"
"FRG1"	"     2483"	"Frg1"	"    14300"
"FUT7"	"     2529"	"Fut7"	"    14347"
"GALNT2"	"     2590"	"Galnt2"	"   108148"
"GNG4"	"     2786"	"Gng4"	"    14706"
"GOLGA2"	"     2801"	"Golga2"	"    99412"
"GRB14"	"     2888"	"Grb14"	"    50915"
"GTF2A2"	"     2958"	"Gtf2a2"	"   235459"
"HDGF"	"     3068"	"Hdgf"	"    15191"
"IDI1"	"     3422"	"Idi1"	"   319554"
"ILK"	"     3611"	"Ilk"	"    16202"
"KIF2A"	"     3796"	"Kif2a"	"    16563"
"KIF11"	"     3832"	"Kif11"	"    16551"
"LLGL2"	"     3993"	"Llgl2"	"   217325"
"MCM2"	"     4171"	"Mcm2"	"    17216"
"MEOX1"	"     4222"	"Meox1"	"    17285"
"MGST3"	"     4259"	"Mgst3"	"    66447"
"MMP2"	"     4313"	"Mmp2"	"    17390"
"MYBPC2"	"     4606"	"Mybpc2"	"   233199"
"MYT1"	"     4661"	"Myt1"	"    17932"
"NAP1L3"	"     4675"	"Nap1l3"	"    54561"
"NDUFA1"	"     4694"	"Ndufa1"	"    54405"
"NDUFA3"	"     4696"	"Ndufa3"	"    66091"
"NDUFB2"	"     4708"	"Ndufb2"	"    68198"
"NDUFB4"	"     4710"	"Ndufb4"	"    68194"
"NDUFB10"	"     4716"	"Ndufb10"	"    68342"
"NDUFC2"	"     4718"	"Ndufc2"	"    68197"
"NDUFS3"	"     4722"	"Ndufs3"	"    68349"
"NOTCH4"	"     4855"	"Notch4"	"    18132"
"OVOL1"	"     5017"	"Ovol1"	"    18426"
"PCK2"	"     5106"	"Pck2"	"    74551"
"GATB"	"     5188"	"Gatb"	"   229487"
"PIGH"	"     5283"	"Pigh"	"   110417"
"PIK3C2G"	"     5288"	"Pik3c2g"	"    18705"
"PKNOX1"	"     5316"	"Pknox1"	"    18771"
"PKP2"	"     5318"	"Pkp2"	"    67451"
"MAP4K2"	"     5871"	"Map4k2"	"    26412"
"RABGGTB"	"     5876"	"Rabggtb"	"    19352"
"SCN2B"	"     6327"	"Scn2b"	"    72821"
"SCO1"	"     6341"	"Sco1"	"    52892"
"SNRPD2"	"     6633"	"Snrpd2"	"   107686"
"STAU1"	"     6780"	"Stau1"	"    20853"
"TBCA"	"     6902"	"Tbca"	"    21371"
"TBX6"	"     6911"	"Tbx6"	"    21389"
"TGM2"	"     7052"	"Tgm2"	"    21817"
"TK2"	"     7084"	"Tk2"	"    57813"
"TOP3A"	"     7156"	"Top3a"	"    21975"
"TRAF6"	"     7189"	"Traf6"	"    22034"
"TSN"	"     7247"	"Tsn"	"    22099"
"VIPR1"	"     7433"	"Vipr1"	"    22354"
"XPC"	"     7508"	"Xpc"	"    22591"
"FANCG"	"     2189"	"Fancg"	"    60534"
"DAP3"	"     7818"	"Dap3"	"    65111"
"RAB7A"	"     7879"	"Rab7"	"    19349"
"BAG6"	"     7917"	"Bag6"	"   224727"
"CDK2AP1"	"     8099"	"Cdk2ap1"	"    13445"
"PABPN1"	"     8106"	"Pabpn1"	"    54196"
"COIL"	"     8161"	"Coil"	"    12812"
"DPF1"	"     8193"	"Dpf1"	"    29861"
"USP9X"	"     8239"	"Usp9x"	"    22284"
"KDM5A"	"     5927"	"Kdm5a"	"   214899"
"AXIN2"	"     8313"	"Axin2"	"    12006"
"BAP1"	"     8314"	"Bap1"	"   104416"
"RASAL1"	"     8437"	"Rasal1"	"    19415"
"MMP23B"	"     8510"	"Mmp23"	"    26561"
"DDX3X"	"     1654"	"Ddx3x"	"    13205"
"CDC23"	"     8697"	"Cdc23"	"    52563"
"HERC2"	"     8924"	"Herc2"	"    15204"
"MAP3K6"	"     9064"	"Map3k6"	"    53608"
"ASH2L"	"     9070"	"Ash2l"	"    23808"
"SPARCL1"	"     8404"	"Sparcl1"	"    13602"
"MTMR4"	"     9110"	"Mtmr4"	"   170749"
"NMI"	"     9111"	"Nmi"	"    64685"
"MTA1"	"     9112"	"Mta1"	"   116870"
"ATP6V0D1"	"     9114"	"Atp6v0d1"	"    11972"
"PRPF4"	"     9128"	"Prpf4"	"    70052"
"PRPF3"	"     9129"	"Prpf3"	"    70767"
"FAM50A"	"     9130"	"Fam50a"	"   108160"
"RABEP1"	"     9135"	"Rabep1"	"    54189"
"RRP9"	"     9136"	"Rrp9"	"    27966"
"ARHGEF1"	"     9138"	"Arhgef1"	"    16801"
"SYNGR1"	"     9145"	"Syngr1"	"    20972"
"NEMF"	"     9147"	"Nemf"	"    66244"
"COX7A2L"	"     9167"	"Cox7a2l"	"    20463"
"LPAR2"	"     9170"	"Lpar2"	"    53978"
"AP4M1"	"     9179"	"Ap4m1"	"    11781"
"ARHGEF2"	"     9181"	"Arhgef2"	"    16800"
"BUB3"	"     9184"	"Bub3"	"    12237"
"SLC24A1"	"     9187"	"Slc24a1"	"   214111"
"DDX21"	"     9188"	"Ddx21"	"    56200"
"ETF1"	"     2107"	"Etf1"	"   225363"
"SLC33A1"	"     9197"	"Slc33a1"	"    11416"
"MTA2"	"     9219"	"Mta2"	"    23942"
"DLG5"	"     9231"	"Dlg5"	"    71228"
"CCPG1"	"     9236"	"Ccpg1"	"    72278"
"CRLF1"	"     9244"	"Crlf1"	"    12931"
"RGL2"	"     5863"	"Rgl2"	"    19732"
"ITGB1BP1"	"     9270"	"Itgb1bp1"	"    16413"
"BCL7C"	"     9274"	"Bcl7c"	"    12055"
"COPB2"	"     9276"	"Copb2"	"    50797"
"B4GALT6"	"     9331"	"B4galt6"	"    56386"
"B4GALT5"	"     9334"	"B4galt5"	"    56336"
"PTGDR2"	"    11251"	"Ptgdr2"	"    14764"
"TCEAL1"	"     9338"	"Tceal1"	"   237052"
"VAMP3"	"     9341"	"Vamp3"	"    22319"
"SNAP29"	"     9342"	"Snap29"	"    67474"
"NDST3"	"     9348"	"Ndst3"	"    83398"
"TXNL1"	"     9352"	"Txnl1"	"    53382"
"SLIT2"	"     9353"	"Slit2"	"    20563"
"UBE4A"	"     9354"	"Ube4a"	"   140630"
"ITGBL1"	"     9358"	"Itgbl1"	"   223272"
"PPIG"	"     9360"	"Ppig"	"   228005"
"LONP1"	"     9361"	"Lonp1"	"    74142"
"ADIPOQ"	"     9370"	"Adipoq"	"    11450"
"ZFYVE9"	"     9372"	"Zfyve9"	"   230597"
"LPXN"	"     9404"	"Lpxn"	"   107321"
"PEX16"	"     9409"	"Pex16"	"    18633"
"SNRNP40"	"     9410"	"Snrnp40"	"    66585"
"ARHGAP29"	"     9411"	"Arhgap29"	"   214137"
"TJP2"	"     9414"	"Tjp2"	"    21873"
"DDX23"	"     9416"	"Ddx23"	"    74351"
"CDYL"	"     9425"	"Cdyl"	"    12593"
"NCR1"	"     9437"	"Ncr1"	"    17086"
"MED23"	"     9439"	"Med23"	"    70208"
"AGTR1"	"      185"	"Agtr1a"	"    11607"
"EIF2AK3"	"     9451"	"Eif2ak3"	"    13666"
"HOMER2"	"     9455"	"Homer2"	"    26557"
"ARHGEF6"	"     9459"	"Arhgef6"	"    73341"
"IL27RA"	"     9466"	"Il27ra"	"    50931"
"PCYT1B"	"     9468"	"Pcyt1b"	"   236899"
"ATG5"	"     9474"	"Atg5"	"    11793"
"PIGB"	"     9488"	"Pigb"	"    55981"
"CLTC"	"     1213"	"Cltc"	"    67300"
"FXR1"	"     8087"	"Fxr1"	"    14359"
"GAL3ST1"	"     9514"	"Gal3st1"	"    53897"
"GDF15"	"     9518"	"Gdf15"	"    23886"
"TBPL1"	"     9519"	"Tbpl1"	"   237336"
"MPDU1"	"     9526"	"Mpdu1"	"    24070"
"TMEM59"	"     9528"	"Tmem59"	"    56374"
"BAG5"	"     9529"	"Bag5"	"    70369"
"POLR1C"	"     9533"	"Polr1c"	"    20016"
"PTGES"	"     9536"	"Ptges"	"    64292"
"EI24"	"     9538"	"Ei24"	"    13663"
"CIR1"	"     9541"	"Cir1"	"    66935"
"APBA3"	"     9546"	"Apba3"	"    57267"
"CXCL14"	"     9547"	"Cxcl14"	"    57266"
"ATP5MF"	"     9551"	"Atp5j2"	"    57423"
"SPAG7"	"     9552"	"Spag7"	"   216873"
"SEC22B"	"     9554"	"Sec22b"	"    20333"
"H2AFY"	"     9555"	"H2afy"	"    26914"
"NLRP3"	"   114548"	"Nlrp3"	"   216799"
"VPS26B"	"   112936"	"Vps26b"	"    69091"
"CLOCK"	"     9575"	"Clock"	"    12753"
"PRDX6"	"     9588"	"Prdx6"	"    11758"
"IER2"	"     9592"	"Ier2"	"    15936"
"PITPNM1"	"     9600"	"Pitpnm1"	"    18739"
"RAB36"	"     9609"	"Rab36"	"    76877"
"SEC24C"	"     9632"	"Sec24c"	"   218811"
"CAPZB"	"      832"	"Capzb"	"    12345"
"CD8B"	"      926"	"Cd8b1"	"    12526"
"CDH15"	"     1013"	"Cdh15"	"    12555"
"CDK5"	"     1020"	"Cdk5"	"    12568"
"CTNS"	"     1497"	"Ctns"	"    83429"
"DAPK1"	"     1612"	"Dapk1"	"    69635"
"DDX1"	"     1653"	"Ddx1"	"   104721"
"DHX8"	"     1659"	"Dhx8"	"   217207"
"DNASE1L3"	"     1776"	"Dnase1l3"	"    13421"
"ETV1"	"     2115"	"Etv1"	"    14009"
"MTOR"	"     2475"	"Mtor"	"    56717"
"HMGN1"	"     3150"	"Hmgn1"	"    15312"
